Frame | BF_l1_p1.x | BF_l1_vel.x | BF_l2_p1.x | BF_l2_vel.x | BF_res | QT_l1_p1.x | QT_l1_vel.x | QT_l2_p1.x | QT_l2_vel.x | QT_res | Diverged
------|------------|-------------|------------|-------------|--------|------------|-------------|------------|-------------|--------|----------
    1 | 0.6161016949 | -0.0021186441 | 0.6156779661 | -0.0021186441 |      0 | 0.6161016949 | -0.0021186441 | 0.6156779661 | -0.0021186441 |      0 | NO
    2 | 0.6150423729 | -0.0021186441 | 0.6146186441 | -0.0021186441 |      0 | 0.6150423729 | -0.0021186441 | 0.6146186441 | -0.0021186441 |      0 | NO
    3 | 0.6139830508 | -0.0021186441 | 0.6135593220 | -0.0021186441 |      0 | 0.6139830508 | -0.0021186441 | 0.6135593220 | -0.0021186441 |      0 | NO
    4 | 0.6129237288 | -0.0021186441 | 0.6125000000 | -0.0021186441 |      0 | 0.6129237288 | -0.0021186441 | 0.6125000000 | -0.0021186441 |      0 | NO
    5 | 0.6118644068 | -0.0021186441 | 0.6114406780 | -0.0021186441 |      0 | 0.6118644068 | -0.0021186441 | 0.6114406780 | -0.0021186441 |      0 | NO
    6 | 0.6108050847 | -0.0021186441 | 0.6103813559 | -0.0021186441 |      0 | 0.6108050847 | -0.0021186441 | 0.6103813559 | -0.0021186441 |      0 | NO
    7 | 0.6097457627 | -0.0021186441 | 0.6093220339 | -0.0021186441 |      0 | 0.6097457627 | -0.0021186441 | 0.6093220339 | -0.0021186441 |      0 | NO
    8 | 0.6086864407 | -0.0021186441 | 0.6082627119 | -0.0021186441 |      0 | 0.6086864407 | -0.0021186441 | 0.6082627119 | -0.0021186441 |      0 | NO
    9 | 0.6076271186 | -0.0021186441 | 0.6072033898 | -0.0021186441 |      0 | 0.6076271186 | -0.0021186441 | 0.6072033898 | -0.0021186441 |      0 | NO
   10 | 0.6065677966 | -0.0021186441 | 0.6061440678 | -0.0021186441 |      0 | 0.6065677966 | -0.0021186441 | 0.6061440678 | -0.0021186441 |      0 | NO
   11 | 0.6055084746 | -0.0021186441 | 0.6050847458 | -0.0021186441 |      0 | 0.6055084746 | -0.0021186441 | 0.6050847458 | -0.0021186441 |      0 | NO
   12 | 0.6044491525 | -0.0021186441 | 0.6040254237 | -0.0021186441 |      0 | 0.6044491525 | -0.0021186441 | 0.6040254237 | -0.0021186441 |      0 | NO
   13 | 0.6033898305 | -0.0021186441 | 0.6029661017 | -0.0021186441 |      0 | 0.6033898305 | -0.0021186441 | 0.6029661017 | -0.0021186441 |      0 | NO
   14 | 0.6023305085 | -0.0021186441 | 0.6019067797 | -0.0021186441 |      0 | 0.6023305085 | -0.0021186441 | 0.6019067797 | -0.0021186441 |      0 | NO
   15 | 0.6012711864 | -0.0021186441 | 0.6008474576 | -0.0021186441 |      0 | 0.6012711864 | -0.0021186441 | 0.6008474576 | -0.0021186441 |      0 | NO
