Frame | BF_l1_p1.x | BF_l1_vel.x | BF_l2_p1.x | BF_l2_vel.x | BF_res | QT_l1_p1.x | QT_l1_vel.x | QT_l2_p1.x | QT_l2_vel.x | QT_res | Diverged | Missing
------|------------|-------------|------------|-------------|--------|------------|-------------|------------|-------------|--------|----------|--------
    1 | 0.6237288136 | -0.0021186441 | 0.6211864407 | -0.0021186441 | 0      | 0.6237288136 | -0.0021186441 | 0.6211864407 | -0.0021186441 | 0      | NO        | NO
    2 | 0.6226694915 | -0.0021186441 | 0.6201271186 | -0.0021186441 | 0      | 0.6226694915 | -0.0021186441 | 0.6201271186 | -0.0021186441 | 0      | NO        | NO
    3 | 0.6216101695 | -0.0021186441 | 0.6190677966 | -0.0021186441 | 0      | 0.6216101695 | -0.0021186441 | 0.6190677966 | -0.0021186441 | 0      | NO        | NO
    4 | 0.6205508475 | -0.0021186441 | 0.6180084746 | -0.0021186441 | 0      | 0.6205508475 | -0.0021186441 | 0.6180084746 | -0.0021186441 | 0      | NO        | NO
    5 | 0.6194915254 | -0.0021186441 | 0.6169491525 | -0.0021186441 | 0      | 0.6194915254 | -0.0021186441 | 0.6169491525 | -0.0021186441 | 0      | NO        | NO
    6 | 0.6184322034 | -0.0021186441 | 0.6158898305 | -0.0021186441 | 0      | 0.6184322034 | -0.0021186441 | 0.6158898305 | -0.0021186441 | 0      | NO        | NO
    7 | 0.6173728814 | -0.0021186441 | 0.6148305085 | -0.0021186441 | 0      | 0.6173728814 | -0.0021186441 | 0.6148305085 | -0.0021186441 | 0      | NO        | NO
    8 | 0.6163135593 | -0.0021186441 | 0.6137711864 | -0.0021186441 | 0      | 0.6163135593 | -0.0021186441 | 0.6137711864 | -0.0021186441 | 0      | NO        | NO
    9 | 0.6152542373 | -0.0021186441 | 0.6127118644 | -0.0021186441 | 0      | 0.6152542373 | -0.0021186441 | 0.6127118644 | -0.0021186441 | 0      | NO        | NO
   10 | 0.6141949153 | -0.0021186441 | 0.6116525424 | -0.0021186441 | 0      | 0.6141949153 | -0.0021186441 | 0.6116525424 | -0.0021186441 | 0      | NO        | NO
   11 | 0.6131355932 | -0.0021186441 | 0.6105932203 | -0.0021186441 | 0      | 0.6131355932 | -0.0021186441 | 0.6105932203 | -0.0021186441 | 0      | NO        | NO
   12 | 0.6120762712 | -0.0021186441 | 0.6095338983 | -0.0021186441 | 0      | 0.6120762712 | -0.0021186441 | 0.6095338983 | -0.0021186441 | 0      | NO        | NO
   13 | (BF only - QT missing)
   14 | 0.6099576271 | -0.0021186441 | 0.6074152542 | -0.0021186441 | 0      | 0.6099576271 | -0.0021186441 | 0.6074152542 | -0.0021186441 | 0      | NO        | NO
   15 | 0.6088983051 | -0.0021186441 | 0.6063559322 | -0.0021186441 | 0      | 0.6088983051 | -0.0021186441 | 0.6063559322 | -0.0021186441 | 0      | NO        | NO
   16 | 0.6078389831 | -0.0021186441 | 0.6052966102 | -0.0021186441 | 0      | 0.6078389831 | -0.0021186441 | 0.6052966102 | -0.0021186441 | 0      | NO        | NO
   17 | 0.6067796610 | -0.0021186441 | 0.6042372881 | -0.0021186441 | 0      | 0.6067796610 | -0.0021186441 | 0.6042372881 | -0.0021186441 | 0      | NO        | NO
   18 | 0.6057203390 | -0.0021186441 | 0.6031779661 | -0.0021186441 | 0      | 0.6057203390 | -0.0021186441 | 0.6031779661 | -0.0021186441 | 0      | NO        | NO
   19 | 0.6046610169 | -0.0021186441 | 0.6021186441 | -0.0021186441 | 0      | 0.6046610169 | -0.0021186441 | 0.6021186441 | -0.0021186441 | 0      | NO        | NO
   20 | 0.6036016949 | -0.0021186441 | 0.6010593220 | -0.0021186441 | 0      | 0.6036016949 | -0.0021186441 | 0.6010593220 | -0.0021186441 | 0      | NO        | NO
   21 | 0.6025423729 | -0.0021186441 | 0.6000000000 | -0.0021186441 | 0      | 0.6025423729 | -0.0021186441 | 0.6000000000 | -0.0021186441 | 0      | NO        | NO
   22 | 0.6014830508 | -0.0021186441 | 0.5989406780 | -0.0021186441 | 0      | 0.6014830508 | -0.0021186441 | 0.5989406780 | -0.0021186441 | 0      | NO        | NO
   23 | 0.6004237288 | -0.0021186441 | 0.5978813559 | -0.0021186441 | 0      | 0.6004237288 | -0.0021186441 | 0.5978813559 | -0.0021186441 | 0      | NO        | NO
   24 | 0.5993644068 | -0.0021186441 | 0.5968220339 | -0.0021186441 | 0      | 0.5993644068 | -0.0021186441 | 0.5968220339 | -0.0021186441 | 0      | NO        | NO
   25 | 0.5983050847 | -0.0021186441 | 0.5957627119 | -0.0021186441 | 0      | 0.5983050847 | -0.0021186441 | 0.5957627119 | -0.0021186441 | 0      | NO        | NO
   26 | 0.5972457627 | -0.0021186441 | 0.5947033898 | -0.0021186441 | 0      | 0.5972457627 | -0.0021186441 | 0.5947033898 | -0.0021186441 | 0      | NO        | NO
   27 | 0.5961864407 | -0.0021186441 | 0.5936440678 | -0.0021186441 | 0      | 0.5961864407 | -0.0021186441 | 0.5936440678 | -0.0021186441 | 0      | NO        | NO
   28 | 0.5951271186 | -0.0021186441 | 0.5925847458 | -0.0021186441 | 0      | 0.5951271186 | -0.0021186441 | 0.5925847458 | -0.0021186441 | 0      | NO        | NO
   29 | 0.5940677966 | -0.0021186441 | 0.5915254237 | -0.0021186441 | 0      | 0.5940677966 | -0.0021186441 | 0.5915254237 | -0.0021186441 | 0      | NO        | NO
   30 | 0.5930084746 | -0.0021186441 | 0.5904661017 | -0.0021186441 | 0      | 0.5930084746 | -0.0021186441 | 0.5904661017 | -0.0021186441 | 0      | NO        | NO
   31 | 0.5919491525 | -0.0021186441 | 0.5894067797 | -0.0021186441 | 0      | 0.5919491525 | -0.0021186441 | 0.5894067797 | -0.0021186441 | 0      | NO        | NO
   32 | 0.5908898305 | -0.0021186441 | 0.5883474576 | -0.0021186441 | 0      | 0.5908898305 | -0.0021186441 | 0.5883474576 | -0.0021186441 | 0      | NO        | NO
   33 | 0.5898305085 | -0.0021186441 | 0.5872881356 | -0.0021186441 | 0      | 0.5898305085 | -0.0021186441 | 0.5872881356 | -0.0021186441 | 0      | NO        | NO
   34 | 0.5887711864 | -0.0021186441 | 0.5862288136 | -0.0021186441 | 0      | 0.5887711864 | -0.0021186441 | 0.5862288136 | -0.0021186441 | 0      | NO        | NO
   35 | 0.5877118644 | -0.0021186441 | 0.5851694915 | -0.0021186441 | 0      | 0.5877118644 | -0.0021186441 | 0.5851694915 | -0.0021186441 | 0      | NO        | NO
