=== BF Collisions Involving Line 105 (frames 1-100) ===
Frame 87: (105,153) type=1
Frame 88: (105,145) type=1
Frame 88: (105,149) type=1
Frame 88: (105,161) type=1
Frame 89: (41,105) type=1
Frame 89: (45,105) type=1
Frame 89: (49,105) type=1
Frame 89: (53,105) type=1
Frame 89: (57,105) type=1
Frame 89: (61,105) type=1
Frame 89: (65,105) type=1
Frame 89: (69,105) type=1
Frame 89: (93,105) type=1
Frame 90: (65,105) type=1
Frame 90: (73,105) type=1
Frame 90: (97,105) type=1
Frame 90: (105,129) type=1
Frame 91: (97,105) type=1
Frame 91: (101,105) type=1
Frame 91: (105,121) type=1
Frame 91: (105,149) type=1
Frame 92: (105,117) type=1
Frame 93: (105,113) type=1
Frame 94: (61,105) type=1
Frame 94: (81,105) type=1
Frame 94: (97,105) type=1
Frame 95: (105,109) type=1
Frame 95: (105,117) type=1
Frame 98: (61,105) type=1
Frame 98: (105,109) type=1
Frame 98: (105,113) type=1
Frame 98: (105,137) type=1
Frame 99: (97,105) type=1
Frame 99: (105,117) type=1
Frame 100: (97,105) type=1

